name,price,class,mlong,mlat
NOUVEAUTE EXCLUSIVITE - SUPERBE 2 PIÈCES DANS RÉSIDENCE EN CONSTRUCTION,Sur demande,Sur demande,43.7019281,7.2359555
Entre le Casino et les plages du Larvotto,5 100 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7019877,7.1657405
Monaco / 2 pièces refait à neuf meublé,1 680 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7411256,7.4153881
3 PIECES A DEUX PAS DU MONTE-CARLO COUNTRY CLUB,6 000 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7516353,7.4385389
Vente Villa Annonciade Penthouse/Roof / 3 pièces,Sur demande,Sur demande,43.7018103,7.2974336
Vente Monaco Appartement / 4 pièces,16 000 000 €,Prix compris entre 10 000 000 et 100 000 000€,43.7383142,7.4153881
Vente Villa Annonciade Penthouse/Roof / +5 pièces,Sur demande,Sur demande,43.7018103,7.2974336
4 pièces entièrement rénové,4 950 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.6692821,6.8264932
2 pièces au Port (BOT 001-0010),2 350 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7411256,7.4153881
2 pièces central - Les Lierres - rénové,1 950 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7018103,7.2974336
Luxueux Penthouse (Est) - Villa Annonciade - vue mer panoramique,Sur demande,Sur demande,43.7447129,7.4242267
La Condamine - Rue de Millo,1 150 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7330719,7.4178835
3/4 P - VALLESPIR,5 500 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7018103,7.2974336
Le Patio Palace - Avenue Hector Otto,2 500 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.734601,7.4113546
Exclusivité - " Château Périgord I ",1 900 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7483051,7.4300685
Vente Villa Annonciade Appartement / 4 pièces,Sur demande,Sur demande,43.7019877,7.1657405
3 pièces près des plages du Larvotto avec parking,4 800 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.746211,7.4163216
Fonds de commerce Port de Fontvielle,850 000 €,Prix compris entre 100 000 et 1 000 000€,43.7480689,7.428372
Fonds de commerce sur le port de Monaco,850 000 €,Prix compris entre 100 000 et 1 000 000€,43.7387844,7.4139513
FONTVIEILLE "LE DONATELLO" 2P,3 500 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7280547,7.4092413
RARE: PARKING A LA VENTE SUR LE PORT,Sur demande,Sur demande,43.7018103,7.2974336
Beau 3 pièces bourgeois refait à neuf,Sur demande,Sur demande,43.7019281,7.2359555
2 Pièces avec Parking et Cave- LE MIRABEL,4 900 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7446288,7.4247582
4 Pièces- VILLA LORETTA-Larousse,5 450 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7446288,7.4247582
2 PIECES- LE ROQUEVILLE,2 350 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7395294,7.4200692
Studio-TOUR DU LARVOTTO,1 400 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7480689,7.428372
Fonds de Commerce- PORT DE FONTVIEILLE,1 600 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7292471,7.4163238
2 Pièces-ANNONCIADE,4 400 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7446776,7.4255722
Studio-ANNONCIADE,1 500 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7474426,7.4273359
NOUVEAU PENTHOUSE DANS LE CENTRE, SUPERBE ESPACE EXTERIEUR,16 700 000 €,Prix compris entre 10 000 000 et 100 000 000€,43.7018103,7.2974336
3 Pièces- LE TROCADERO,4 700 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7018103,7.2974336
2 APPARTEMENTS ADJACENTS À VENDRE - LE STELLA,Sur demande,Sur demande,43.7018103,7.2974336
NOUVEAU DÉVELOPPEMENT AVEC VUE IMPRENABLE SUR LA MER,10 980 000 €,Prix compris entre 10 000 000 et 100 000 000€,43.7018822,7.2710617
PENTHOUSE IMPRESSIONNANT, CHARMANTE RÉSIDENCE,Sur demande,Sur demande,43.7018103,7.2974336
2 PIECES- LE MIRABEL,3 900 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7411256,7.4153881
Vente Tour Odéon Appartement / +5 pièces,Sur demande,Sur demande,43.7479557,7.4283368
Grand studio - Eden Star,1 790 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7019877,7.1657405
MAGNIFIQUE APPARTEMENT, QUALITÉ EXCEPTIONNELLE,Sur demande,Sur demande,43.7018822,7.2710617
MAGNIFIQUE APPARTEMENT 7 PIÈCES,Sur demande,Sur demande,43.7018822,7.2710617
MAGNIFICENCE À MONACO ! 2020,30 000 000 €,Prix compris entre 10 000 000 et 100 000 000€,43.7018103,7.2974336
21 PRINCESSE GRACE, PENTHOUSE SPECTACULAIRE,Sur demande,Sur demande,43.7447424,7.4288671
CONDAMINE - 2 appartements à réunir,5 000 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7019877,7.1657405
MODERN NEW BUILDING WITH PARKING,Sur demande,Sur demande,43.7018103,7.2974336
PENTHOUSE ÉNORME - ADRESSE IDÉALE!,16 800 000 €,Prix compris entre 10 000 000 et 100 000 000€,43.7018103,7.2974336
FONTVIEILLE - STUNNING 2 BEDROOM,7 500 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7280547,7.4092413
3 PIECES RENOVE | CONDAMINE,4 500 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7019281,7.2359555
Vente La Réserve Appartement / +5 pièces,Sur demande,Sur demande,43.7019281,7.2359555
BEL APPARTEMENT, PLAGES,22 000 000 €,Prix compris entre 10 000 000 et 100 000 000€,43.4393018,6.2122217
2 PIECES A LA CONDAMINE,2 650 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.740481,7.4153881
3 PIECES CONTEMPORAIN ET CENTRAL,2 850 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7019877,7.1657405
MURS A LA VENTE - HAUTE QUALITE - CARRE D'OR,6 400 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7019281,7.2359555
LUXUEUX DUPLEX DE 1 CHAMBRE À CONDAMINE,3 800 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7480689,7.428372
MARVELLOUS SEA-FRONT DUPLEX,22 000 000 €,Prix compris entre 10 000 000 et 100 000 000€,43.7019877,7.1657405
MAGNIFIQUE 3 PIECES RENOVE | CONDAMINE,Sur demande,Sur demande,43.7019877,7.1657405
